box-office
13617501
880474
77253083
44400000
3411208
26096584
48520000
1638101
107506776
1700000
41601840
57825111
20422207
65942664
3700000
86198014
114297071
3461533
18324242
10058448
41840908
1053506
1187711
21100000
2922776
3200000
16814615
172975674
266120
6144806
10214647
29425
11766
50666882
1623210
16967576
124420707
24033036
16500000
113620
134904
33299999
2202208
11198345
4683159
21501098
15361537
8103139
70236496
1470625
48925682
3152725
6923891
100448498
22012529
476497
800000
54132596
12148629
614920
55992236
347321
31090224
81000000
20949649
13401683
17364602
14108518
14000000
283210
199274
13000000
70500647
25615792
10201634
61356221
19445217
37431431
32118648
13434906
1000000
43452354
17718223
201560
2857745
75456736
598103
40566655
50536
21000000
71282
231703
61817
61656849
2014304
205005
16831505
100215116
51772
15412701
156414
25100000
156164829
7518962
40270895
3453
115088305
43437
7800000
197800000
4700000
411
2348170
14276
1388365
3931456
149337
25957696
38230435
640122
274579
2591047
11483975
31141074
12583510
51814190
100000
5935826
14140215
48289
528799
24160216
415067
442201
149416
18968154
526322
14013564
25261240
13590494
14971658
93008426
5132442
700000
1818622
54902
314971245
528757749
42345531
16162920
1600000
617334
3135535
40203020
140080850
45282
10237964
2621407
85275488
64329473
51100000
15143
10082747
1200000
2901744
32578915
10230
248752120
21203260
26706668
34690808
148734225
277313371
291980108
90485233
27186836
14319394
32844290
42168445
17160
59645
5600000
13351235
21520719
33000000
74484168
11644832
1010010
22715908
291677
23036320
182515
1216258
23073611
1900000
24673716
81110575
23564630
158737441
23100000
871646
317557891
32200000
8713873
1749146
40138026
123368
52307676
12748504
72266306
37788228
291021565
138120085
4584577
73895861
130127620
2021399
14934238
7428856
118823091
93571803
50648679
8016
19980
59365105
100519
2395410
28965459
129181
58260046
622999
35374833
61200
44892121
1926548
5300000
256399999
3600
46007113
48786443
47971571
1219212
18000000
228636083
905718
47259055
44239688
326289
40533014
16930884
119469511
5875116
35070
13401068
204100000
28744803
74463263
206100000
101218
53300000
65700000
6410279
72601713
9400000
3627889
28873374
35565975
503974884
216900000
26838389
56939515
33987757
42500000
86250
20275446
380529370
16877430
55590667
2277736
365187
49300000
325021779
31317
13600000
91024535
45802315
5652908
16052032
2608716
3262954
5490967
43426961
9664316
5637512
51033986
586028
1459649
454950
4146580
17016190
253705
13881654
226276809
2401652
508425
1255524
643843
560101
1093888
89667
78064284
9921042
73159525
39751
326187
100003492
83775048
4341275
5281537
64955956
6847536
22489779
17114882
6331346
2100000
49887802
2412045
908932
8570393
25064090
11827301
37019849
234141872
300000
7829766
200000
6200000
41442009
66636385
1234300
9514
38140180
33500000
23595
11538204
57000000
35945749
46429909
8074933
43929341
77600000
15504419
4436352
116478
3700000
2339735
12802907
13850403
35764982
43337279
4023123
4559739
128344089
106952327
586242
132122995
22838662
2326121
428923
166980
279912
17407536
3016057
2100
25677801
4439063
15195406
89602378
31874869
87025093
6500000
44794936
49186871
15849340
46305287
1458734
78500000
15176515
828801
17229124
25517500
984116
1357042
296665
91126
28870
4575019
175088
30259652
3489919
20186516
6798854
22438650
201013
36300285
300000
407981652
273747
41274328
52098992
61100000
25732
123580
422186
74158157
31500000
264317903
19239494
