Original,Mini-Major,Major
The Weinstein Company/Dimension,1,0
The Weinstein Company/Dimension Films,1,0
Think Film,0,0
ThinkFilm,0,0
ThinkFilm Inc.,0,0
Touchstone Pictures,0,0
Touchstone Pictures/Treehouse Films,0,0
TriStar Pictures,0,0
TriStar/FilmDistrict,0,0
United Artists,1,0
United Artists Films,1,0
United Artists Pictures,1,0
United Artists Pictures/MGM,1,0
Universal,0,1
Universal Classics,0,1
Universal Focus,0,1
Universal Pictures,0,1
Universal Pictures Distributio,0,1
Universal Pictures International,0,1
Universal Pictures/Spyglass,0,1
Universal Studios,0,1
Universal/Rogue Pictures,0,1
Vertical Entertainment,0,0
Vertigo Entertainment,0,0
WARNER BROTHERS PICTURES,0,1
Walt Disney Animation Studios,0,1
Walt Disney Pictures,0,1
Walt Disney Pictures [us],0,1
Walt Disney Pictures/PIXAR,0,1
Walt Disney Studios,0,1
Warner Bros Pictures,0,1
Warner Bros.,0,1
Warner Bros. Pictures,0,1
Warner Bros. Pictures International,0,1
Warner Bros. Pictures/Dark Castle,0,1
Warner Bros. Pictures/Dark Castle Ent.,0,1
Warner Bros. Pictures/Legendary,0,1
Warner Bros. Pictures/Legendary Pictures,0,1
Warner Bros. Pictures/New Line Cinema,0,1
Warner Bros. Pictures/New Line/Paramount,0,1
Warner Bros. Pictures/Village Roadshow,0,1
Warner Home Video,0,1
Warner Independent,0,1
Warner Independent Pictures,0,1
Warners Bros. Pictures,0,1
Weinstein Co.,1,0
Weinstein Company,1,0
Yari Film Group,0,0
Yari Film Group Releasing,0,0
eOne Entertainment,0,0
8X Entertainment,0,0
A24,1,0
A24 Films,0,0
ATO Pictures,0,0
Aamir Khan Productions,0,0
Abarorama,0,0
Abramorama,0,0
Alchemy,0,0
All3Media,0,0
Alluvial Film Company,0,0
Altitude Film Entertainment,0,0
Amblin Entertainment,0,0
American Zoetrope,0,0
Amplify Films,0,0
Anguille Productions,0,0
Annapurna Pictures,0,0
Arc Entertainment,0,0
Area23,0,0
Arte France Cinéma,0,0
Artisan Entertainment,1,0
Aspiration Media,0,0
Aviron Pictures,0,0
BB Entertainment/Slow Hand,0,0
BBC Films,0,0
BH Tilt,0,0
Bad Robot Productions,0,0
Barbossa/Roadside Attraction,0,0
Benaroya Pictures,0,0
Benetone Films,0,0
Big Pictures,0,0
Bling Unplugged,0,0
Block Entertainment,0,0
Blue Collar Releasing,0,0
Borderline Films,0,0
Braveart Films,0,0
